Game Name,Month,Day,Year,Num1,Num2,Num3,Num4,Num5,NumS
SE,4,2,2024,28,39,40,44,72,76
SE,4,4,2024,8,33,36,41,51,68
SE,4,5,2024,23,40,42,60,62,63
SE,4,6,2024,14,33,53,54,64,78
SE,4,9,2024,15,23,31,45,51,58
SE,4,11,2024,8,31,67,77,81,86
SE,4,12,2024,10,23,47,49,84,85
SE,4,13,2024,1,6,7,11,79,88
SE,4,16,2024,1,3,11,53,75,81
SE,4,18,2024,15,27,42,53,65,85
SE,4,19,2024,9,18,65,70,75,87
SE,4,20,2024,26,34,40,53,60,68
SE,4,23,2024,8,12,20,24,45,73
SE,4,26,2024,9,13,51,61,81,83
SE,4,27,2024,24,27,41,54,62,63
SE,4,29,2024,17,27,44,50,66,85
SE,4,30,2024,6,7,11,20,33,81
SE,5,2,2024,14,43,54,69,80,90
SE,5,3,2024,17,23,43,48,52,66
SE,5,4,2024,5,18,22,34,52,66
SE,5,7,2024,21,23,30,45,68,85
SE,5,9,2024,23,36,38,62,75,81
SE,5,10,2024,6,20,40,55,71,80
SE,5,11,2024,21,29,34,36,46,51
SE,5,14,2024,11,27,39,43,61,85
SE,5,16,2024,10,11,27,31,66,83
SE,5,17,2024,13,14,41,53,60,65
SE,5,18,2024,2,20,31,48,58,59
SE,5,21,2024,3,28,49,72,83,84
SE,5,23,2024,4,10,19,50,71,83
SE,5,24,2024,2,36,39,50,59,64
SE,5,25,2024,2,10,28,37,56,75
SE,5,28,2024,19,41,67,76,82,85
SE,5,30,2024,10,14,16,40,50,55
SE,5,31,2024,14,20,24,49,83,84
SE,6,1,2024,4,13,47,75,80,82
SE,6,4,2024,4,18,28,41,61,75
SE,6,6,2024,43,44,45,50,67,76
SE,6,7,2024,39,51,52,58,72,84
SE,6,8,2024,6,8,14,15,59,79
SE,6,11,2024,14,27,34,47,73,88
SE,6,13,2024,5,22,47,54,63,84
SE,6,14,2024,15,60,82,85,86,87
SE,6,15,2024,6,16,22,69,73,78
SE,6,18,2024,20,32,49,50,51,58
SE,6,20,2024,19,31,39,60,72,80
SE,6,21,2024,21,23,28,59,79,82
SE,6,22,2024,3,25,57,69,71,87
SE,6,25,2024,3,18,49,63,68,82
SE,6,27,2024,13,28,63,76,80,85
SE,6,28,2024,21,26,33,34,45,86
SE,6,29,2024,11,18,25,26,54,84
SE,7,2,2024,4,7,39,71,79,89
SE,7,4,2024,15,25,42,53,56,73
SE,7,5,2024,10,21,23,26,35,50
SE,7,6,2024,18,24,26,33,34,47
SE,7,9,2024,8,26,32,34,53,58
SE,7,11,2024,10,31,40,59,80,85
SE,7,12,2024,43,54,60,70,75,89
SE,7,13,2024,6,9,54,63,64,68
SE,7,16,2024,3,18,26,54,61,72
SE,7,18,2024,13,23,35,36,57,64
SE,7,19,2024,13,20,39,48,74,89
SE,7,20,2024,45,48,50,57,70,71
SE,7,23,2024,24,59,63,64,82,90
SE,7,25,2024,2,21,23,56,69,87
SE,7,26,2024,1,14,21,35,64,85
SE,7,27,2024,13,14,25,34,59,84
SE,7,30,2024,11,13,22,34,54,77
SE,8,1,2024,33,39,78,79,83,84
SE,8,2,2024,34,42,69,76,81,85
SE,8,3,2024,6,37,69,73,79,88
SE,8,6,2024,4,11,85,86,87,88
SE,8,8,2024,3,16,17,54,61,90
SE,8,9,2024,23,40,60,79,80,87
SE,8,10,2024,13,14,49,55,71,77
SE,8,13,2024,41,43,55,65,80,85
SE,8,16,2024,1,6,13,20,73,85
SE,8,17,2024,6,22,43,60,66,73
SE,8,19,2024,4,7,15,24,36,78
SE,8,20,2024,17,23,45,57,64,89
SE,8,22,2024,17,18,24,34,57,82
SE,8,23,2024,5,7,59,70,72,73
SE,8,24,2024,17,28,63,72,75,81
SE,8,27,2024,12,23,36,42,50,71
SE,8,29,2024,5,23,46,52,60,80
SE,8,30,2024,7,34,47,52,74,86
SE,8,31,2024,1,20,27,41,60,77
SE,9,3,2024,6,38,55,71,80,85
SE,9,5,2024,4,5,29,32,69,89
SE,9,6,2024,2,26,37,38,69,85
SE,9,7,2024,1,16,64,70,72,82
SE,9,10,2024,9,11,27,53,63,78
SE,9,12,2024,29,35,65,67,70,80
SE,9,13,2024,2,12,16,18,59,61
SE,9,14,2024,1,31,55,65,76,88
SE,9,17,2024,17,28,62,64,74,84
SE,9,19,2024,3,13,44,45,56,61
SE,9,20,2024,14,22,42,44,47,79
SE,9,21,2024,8,33,35,39,78,83
SE,9,24,2024,2,25,27,50,88,90
SE,9,26,2024,2,13,14,41,52,79
SE,9,27,2024,4,14,42,46,53,60
SE,9,28,2024,4,8,28,33,34,57
SE,10,1,2024,57,60,68,70,80,83
SE,10,3,2024,26,27,40,51,67,86
SE,10,4,2024,5,43,57,58,72,87
SE,10,5,2024,13,41,47,58,81,84
SE,10,8,2024,6,21,25,59,63,68
SE,10,10,2024,6,48,64,80,87,89
SE,10,11,2024,31,34,49,66,75,88
SE,10,12,2024,11,13,16,22,42,51
SE,10,15,2024,1,23,44,45,47,60
SE,10,17,2024,2,23,24,42,46,88
SE,10,18,2024,19,39,41,42,45,88
SE,10,19,2024,14,67,73,86,89,90
SE,10,22,2024,13,23,37,43,64,79
SE,10,24,2024,7,21,23,28,29,31
SE,10,25,2024,5,11,39,41,62,80
SE,10,26,2024,14,31,40,42,52,65
